"decimalLongitude","decimalLatitude","side","code"
-78.109664917,20.5849990845,1,"OBIS516"
-64.6100006104,17.7886009216,1,"OBIS517"
-64.5921478271,17.779340744,1,"OBIS518"
-66.9894790649,17.9212207794,1,"OBIS519"
-64.5787963867,17.7657604218,1,"OBIS520"
-67.0346908569,17.923789978,1,"OBIS521"
-67.0825119019,17.9400405884,1,"OBIS522"
-64.5650863647,17.7879295349,1,"OBIS523"
-64.5787734985,17.7664108276,1,"OBIS524"
-64.592010498,17.7890205383,1,"OBIS525"
-39.135278,-17.421944,1,"OBIS526"
-64.6191864014,17.7673091888,1,"OBIS527"
-64.5880279541,17.7655200958,1,"OBIS528"
-64.5823364258,17.7796192169,1,"OBIS529"
-38.690278,-17.906944,1,"OBIS530"
-64.665397644,17.769859314,1,"OBIS531"
-64.7694473267,18.3171596527,1,"OBIS532"
-64.7036209106,18.2994098663,1,"OBIS533"
-64.7757873535,18.352930069,1,"OBIS534"
-66.9559936523,17.8984603882,1,"OBIS535"
-64.5977096558,17.7716197968,1,"OBIS536"
-64.6167068481,17.7894096375,1,"OBIS537"
-64.6568908691,17.7682495117,1,"OBIS538"
-64.6182479858,17.7837200165,1,"OBIS540"
-64.580947876,17.7884197235,1,"OBIS541"
-64.630897522,17.7650909424,1,"OBIS542"
-67.0840835571,17.9177398682,1,"OBIS544"
-64.6130371094,17.7891292572,1,"OBIS545"
-64.5879669189,17.780040741,1,"OBIS546"
-64.6199035645,17.7904701233,1,"OBIS548"
-93.5992965698,27.9095306396,1,"OBIS549"
-64.6714172363,17.7771701813,1,"OBIS550"
-64.5702514648,17.7628707886,1,"OBIS552"
-77.0784683228,18.4190502167,1,"OBIS553"
-64.7147827148,18.3074893951,1,"OBIS554"
-64.6249084473,17.7921199799,1,"OBIS555"
-64.6233673096,17.7690105438,1,"OBIS556"
-38.590556,-18.101944,1,"OBIS557"
-64.6630325317,17.7777004242,1,"OBIS559"
-64.6101608276,17.7865905762,1,"OBIS560"
-64.6167297363,17.7886695862,1,"OBIS561"
-67.0083618164,17.9034500122,1,"OBIS563"
-67.0125427246,17.9341392517,1,"OBIS564"
-67.0021209717,17.9033794403,1,"OBIS565"
-64.5663909912,17.7610607147,1,"OBIS566"
-66.9440765381,17.9083194733,1,"OBIS568"
-64.5948867798,17.8016300201,1,"OBIS569"
-64.6139831543,17.8058605194,1,"OBIS570"
-67.00390625,17.8902301788,1,"OBIS571"
-67.1033935547,17.9336891174,1,"OBIS572"
-64.7814025879,18.3472690582,1,"OBIS573"
-80.2232971191,25.1991672516,1,"OBIS574"
-64.7727813721,18.3640804291,1,"OBIS575"
-64.6190490723,17.794670105,1,"OBIS577"
-78.0125808716,18.4577827454,1,"OBIS578"
-64.5980606079,17.7844104767,1,"OBIS579"
-64.7647018433,18.3115997314,1,"OBIS580"
-64.6027679443,17.8005409241,1,"OBIS582"
-64.6158981323,17.7950706482,1,"OBIS583"
-64.7605133057,18.353559494,1,"OBIS584"
-64.6363372803,17.8106708527,1,"OBIS585"
-64.622756958,17.8001308441,1,"OBIS586"
-39.027778,-17.478333,1,"OBIS587"
-64.7596969604,18.3633003235,1,"OBIS588"
-64.6034469604,17.8008804321,1,"OBIS589"
-63.2594985962,17.6248340607,1,"OBIS590"
-64.5917434692,17.7960700989,1,"OBIS591"
-64.6246032715,17.7604904175,1,"OBIS592"
-66.9365005493,17.9129295349,1,"OBIS593"
-77.36353302,8.65937709808,1,"OBIS594"
-64.5907592773,17.768579483,1,"OBIS596"
-64.6125030518,17.7992992401,1,"OBIS597"
-64.6100311279,17.7869091034,1,"OBIS599"
-64.7890014648,18.3574008942,1,"OBIS601"
-64.6106262207,17.7879390717,1,"OBIS602"
-64.6977233887,18.3321304321,1,"OBIS603"
-64.6697463989,17.7765903473,1,"OBIS604"
-64.5733032227,17.7658596039,1,"OBIS605"
-64.7669067383,18.31498909,1,"OBIS607"
-66.9858474731,17.9609107971,1,"OBIS608"
-64.5794677734,17.7817192078,1,"OBIS609"
-67.1158294678,17.9259605408,1,"OBIS611"
-64.591583252,17.7679100037,1,"OBIS612"
-78.1828308105,20.6035003662,1,"OBIS613"
-67.0502319336,17.9127807617,1,"OBIS614"
-64.6892318726,18.3048496246,1,"OBIS615"
-67.0395889282,17.9092998505,1,"OBIS616"
-64.6198272705,17.7826690674,1,"OBIS617"
-64.6256713867,17.7922992706,1,"OBIS618"
-64.5789871216,17.7843208313,1,"OBIS619"
-64.6312713623,17.7150192261,1,"OBIS620"
-64.6314620972,17.7866706848,1,"OBIS621"
-38.703611,-18.003889,1,"OBIS622"
-67.0662918091,17.9667606354,1,"OBIS623"
-64.6657104492,17.779920578,1,"OBIS625"
