"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName","occurrenceStatus"
"Montastraea cavernosa",-97.282111,21.549056,"MX",1,"1893242527","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987972,20.763417,"MX",1,"1893242538","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242544","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987928,20.763339,"MX",1,"1893242581","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.276805,21.544444,"MX",1,"1893242604","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.98925,20.759056,"MX",1,"1893242319","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.988861,20.755778,"MX",1,"1893242329","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.989028,20.760611,"MX",1,"1893242332","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.990861,20.763833,"MX",1,"1893242333","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.995778,20.767,"MX",1,"1893242336","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
