Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Portinho Sul_Alcatrazes/05_Alcatrazes_Juan_0503_GoPro2_Video5/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/05_Alcatrazes_Juan_Fundo_0503_GoPro2_Video1/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/06_Alcatrazes_Juan_0503_GoPro2_Video6/;-45.702491;-24.105182;0
Portinho Sul_Alcatrazes/06_Alcatrazes_Juan_Fundo_0503_GoPro2_Video2/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/07_Alcatrazes_Juan_Fundo_0503_GoPro2_Video3/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/07_Portinho_Lu_0503_Raso_GoPro1_Video1/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/08_Alcatrazes_Juan_Fundo_0503_GoPro2_Video4/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/08_Portinho_Lu_0503_Raso_GoPro1_Video2/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/09_Portinho_Lu_0503_Raso_GoPro1_Video3/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/09_PortinhoSul_Lu_0503_Fundo_GoProLu_Video3-SemTamanho/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/10_Portinho_Lu_0503_Raso_GoPro1_Video4/;-45.702491;-24.105182;0
Portinho Sul_Alcatrazes/10_PortinhoSul_Lu_0503_Fundo_GoProLu_Video4/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/11_PortinhoSul_Lu_0503_Raso_GoProLu_Video1/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/12_PortinhoSul_Lu_0503_Raso_GoProLu_Video2/;-45.702491;-24.105182;1
Saco do Diogo/01_Diogo_Lu_0103_Raso_GoPro2_Video1/;-45.283621;-23.935384;0
Saco do Diogo/01_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video1/;-45.283621;-23.935384;0
Saco do Diogo/02_Diogo_Lu_0103_Raso_GoPro2_Video2/;-45.283621;-23.935384;1
Saco do Diogo/02_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video2/;-45.283621;-23.935384;0
Saco do Diogo/03_Diogo_Lu_0103_Raso_GoPro2_Video3/;-45.283621;-23.935384;1
