"decimalLongitude","decimalLatitude","moca","code"
-74.5400009155,24.0300006866,1,"OBIS357"
-75.8160553,9.743944168,1,"OBIS358"
-64.4099349976,18.7527332306,1,"OBIS359"
-67.0347900391,17.9192409515,1,"OBIS360"
-87.5264968872,17.2210006714,1,"OBIS363"
-67.0566635132,17.9096298218,1,"OBIS367"
-78.90319824,9.540650368,1,"OBIS368"
-38.690278,-17.906944,1,"OBIS369"
-81.4967193604,22.1162662506,1,"OBIS370"
-87.7536087036,18.5069446564,1,"OBIS371"
-64.6119384766,17.8062801361,1,"OBIS374"
-78.3666152954,18.2886829376,1,"OBIS375"
-87.9400024414,17.9400005341,1,"OBIS376"
-64.6399307251,17.7650203705,1,"OBIS377"
-81.5879974365,24.5514507294,1,"OBIS378"
-63.2280006409,17.6496658325,1,"OBIS379"
-64.612487793,17.7984294891,1,"OBIS380"
-64.7375564575,18.3731803894,1,"OBIS383"
-77.0384979248,26.6371498108,1,"OBIS385"
-87.589515686,17.1875495911,1,"OBIS386"
-78.8858642578,20.771232605,1,"OBIS388"
-64.5974731445,17.7827606201,1,"OBIS390"
-71.2013015747,21.3734664917,1,"OBIS392"
-37.943,-19.813,1,"OBIS396"
-64.5541229248,17.7803192139,1,"OBIS397"
-80.1999969482,25.4599990845,1,"OBIS398"
-77.3703308105,23.6766662598,1,"OBIS399"
-77.6910018921,24.6259994507,1,"OBIS400"
-64.598777771,17.7833690643,1,"OBIS401"
-64.6042480469,17.800699234,1,"OBIS402"
-81.4283828735,21.9162826538,1,"OBIS403"
-81.8225174,9.107566833,1,"OBIS404"
-78.94436646,9.553649902,1,"OBIS405"
-78.8407516479,9.56458282471,1,"OBIS406"
-64.5765533447,17.7670593262,1,"OBIS410"
-78.9443664551,9.55364990234,1,"OBIS411"
-81.1957702637,19.3533668518,1,"OBIS412"
-64.5340194702,17.7757396698,1,"OBIS414"
-87.3029785156,20.4021892548,1,"OBIS416"
-64.7391967773,18.3103504181,1,"OBIS418"
-77.3866500854,23.947599411,1,"OBIS419"
-93.6029663086,27.9063892365,1,"OBIS420"
-64.627243042,17.7975006104,1,"OBIS421"
-64.5664215088,17.7938194275,1,"OBIS422"
-64.5676422119,17.7939796448,1,"OBIS424"
