species,longitude,latitude
moca,-64.7916666666667,18.375
moca,-64.7083333333333,18.375
moca,-64.625,18.375
moca,-78.375,18.2916666666667
moca,-76.7083333333333,18.2916666666667
moca,-65.375,18.2916666666667
moca,-65.2916666666667,18.2916666666667
moca,-65.2083333333333,18.2916666666667
moca,-65.125,18.2916666666667
moca,-64.9583333333333,18.2916666666667
moca,-64.7916666666667,18.2916666666667
moca,-64.7083333333333,18.2916666666667
moca,-78.2916666666667,18.2083333333333
moca,-67.2916666666667,18.2083333333333
moca,-65.2916666666667,18.125
moca,-63.0416666666667,18.0416666666667
moca,-87.9583333333333,17.9583333333333
moca,-67.125,17.9583333333333
moca,-67.0416666666667,17.9583333333333
moca,-66.9583333333333,17.9583333333333
moca,-66.875,17.9583333333333
moca,-66.2916666666667,17.9583333333333
moca,-66.2083333333333,17.9583333333333
moca,-63.0416666666667,17.9583333333333
moca,-87.9583333333333,17.875
moca,-76.875,17.875
moca,-76.7916666666667,17.875
moca,-67.125,17.875
moca,-67.0416666666667,17.875
moca,-66.9583333333333,17.875
moca,-66.875,17.875
moca,-66.2916666666667,17.875
moca,-66.2083333333333,17.875
moca,-77.0416666666667,17.7916666666667
moca,-64.7916666666667,17.7916666666667
moca,-64.7083333333333,17.7916666666667
moca,-64.625,17.7916666666667
moca,-64.5416666666667,17.7916666666667
moca,-88.0416666666667,17.7083333333333
moca,-64.625,17.7083333333333
moca,-64.5416666666667,17.7083333333333
moca,-87.7083333333333,17.625
moca,-63.2916666666667,17.625
moca,-63.2083333333333,17.625
moca,-87.7916666666667,17.5416666666667
moca,-87.7083333333333,17.5416666666667
moca,-63.4583333333333,17.5416666666667
moca,-63.4583333333333,17.4583333333333
moca,-63.2083333333333,17.4583333333333
moca,-62.9583333333333,17.4583333333333
moca,-87.9583333333333,17.375
moca,-62.875,17.375
moca,-61.875,17.375
moca,-88.0416666666667,17.2916666666667
moca,-87.5416666666667,17.2916666666667
moca,-87.625,17.2083333333333
moca,-87.5416666666667,17.2083333333333
moca,-87.875,17.125
moca,-87.625,17.125
moca,-88.0416666666667,16.9583333333333
moca,-87.7916666666667,16.875
moca,-87.7083333333333,16.875
moca,-88.125,16.7916666666667
moca,-88.0416666666667,16.7916666666667
moca,-88.2083333333333,16.7083333333333
moca,-88.0416666666667,16.7083333333333
moca,-87.875,16.7083333333333
moca,-87.7916666666667,16.7083333333333
moca,-87.9583333333333,16.5416666666667
moca,-82.9583333333333,14.375
moca,-80.375,14.375
moca,-80.2916666666667,14.375
moca,-80.2083333333333,14.375
moca,-80.125,14.375
moca,-80.375,14.2916666666667
moca,-81.375,13.375
moca,-61.2916666666667,13.2916666666667
moca,-59.625,13.2916666666667
moca,-59.625,13.0416666666667
moca,-81.7083333333333,12.5416666666667
moca,-61.4583333333333,12.4583333333333
moca,-82.9583333333333,12.2916666666667
moca,-69.125,12.2916666666667
moca,-83.0416666666667,12.2083333333333
moca,-81.875,12.2083333333333
moca,-68.375,12.2083333333333
moca,-81.875,12.125
moca,-81.7916666666667,12.125
moca,-68.9583333333333,12.125
moca,-68.2916666666667,12.125
moca,-61.7916666666667,12.125
moca,-83.0416666666667,12.0416666666667
moca,-68.7083333333333,12.0416666666667
moca,-61.7916666666667,12.0416666666667
moca,-66.9583333333333,11.9583333333333
moca,-61.7916666666667,11.875
moca,-66.7083333333333,11.7916666666667
moca,-66.875,11.7083333333333
moca,-74.2083333333333,11.375
moca,-74.2083333333333,11.2916666666667
moca,-74.125,11.2916666666667
moca,-60.4583333333333,11.2916666666667
moca,-74.2083333333333,11.2083333333333
moca,-68.2083333333333,10.7916666666667
moca,-66.2083333333333,10.625
moca,-67.2083333333333,10.5416666666667
moca,-66.0416666666667,10.5416666666667
moca,-83.0416666666667,10.0416666666667
moca,-75.7916666666667,9.79166666666667
moca,-75.7916666666667,9.70833333333334
moca,-78.875,9.625
moca,-78.7916666666667,9.625
moca,-78.9583333333333,9.54166666666667
moca,-78.875,9.54166666666667
moca,-78.7083333333333,9.54166666666667
moca,-78.625,9.54166666666667
moca,-76.2083333333333,9.375
moca,-82.2083333333333,9.29166666666667
moca,-82.125,9.29166666666667
moca,-82.0416666666667,9.29166666666667
moca,-82.125,9.20833333333334
moca,-81.9583333333333,9.125
moca,-76.875,8.375
moca,6.70833333333333,0.375
moca,6.45833333333333,0.291666666666671
moca,6.79166666666666,0.208333333333336
moca,6.54166666666666,-0.0416666666666643
moca,-44.2916666666667,-0.875
moca,-37.7916666666667,-1.95833333333333
moca,-38.375,-3.54166666666666
moca,-38.2916666666667,-3.54166666666666
moca,-35.125,-5.79166666666666
moca,-34.7916666666667,-6.70833333333333
moca,-34.7916666666667,-7.125
moca,-34.7916666666667,-7.625
moca,-38.625,-12.7916666666667
moca,-38.5416666666667,-12.7916666666667
moca,-38.5416666666667,-12.875
moca,-38.5416666666667,-12.9583333333333
moca,-38.4583333333333,-13.0416666666667
moca,-38.625,-13.125
moca,-38.875,-13.2083333333333
moca,-38.875,-14.0416666666667
moca,-38.9583333333333,-14.7916666666667
moca,-38.875,-14.9583333333333
moca,-38.9583333333333,-16.2083333333333
moca,-38.875,-16.2916666666667
moca,-39.0416666666667,-16.875
moca,-39.125,-16.9583333333333
moca,-39.0416666666667,-16.9583333333333
moca,-39.125,-17.0416666666667
moca,-36.7916666666667,-17.125
moca,-39.0416666666667,-17.4583333333333
moca,-38.9583333333333,-17.4583333333333
moca,-38.7916666666667,-17.4583333333333
moca,-39.0416666666667,-17.5416666666667
moca,-39.0416666666667,-17.625
moca,-39.0416666666667,-17.7083333333333
moca,-38.9583333333333,-17.7083333333333
moca,-38.625,-17.7083333333333
moca,-39.0416666666667,-17.7916666666667
moca,-38.9583333333333,-17.7916666666667
moca,-38.9583333333333,-17.875
moca,-38.7083333333333,-17.875
moca,-39.2916666666667,-17.9583333333333
moca,-39.2083333333333,-17.9583333333333
moca,-38.9583333333333,-17.9583333333333
moca,-38.7916666666667,-17.9583333333333
moca,-38.7083333333333,-17.9583333333333
moca,-38.625,-17.9583333333333
moca,-39.0416666666667,-18.0416666666667
moca,-38.9583333333333,-18.0416666666667
moca,-38.7083333333333,-18.0416666666667
moca,-38.625,-18.0416666666667
moca,-38.625,-18.125
moca,-38.0416666666667,-18.5416666666667
moca,-37.875,-18.625
moca,-38.0416666666667,-19.2916666666667
moca,-38.375,-19.7083333333333
moca,-37.9583333333333,-19.7916666666667
moca,-36.125,-20.4583333333333
moca,-35.875,-20.5416666666667
moca,-37.5416666666667,-20.625
moca,-37.875,-20.7083333333333
moca,-37.7083333333333,-20.7083333333333
moca,-35.4583333333333,-20.7083333333333
moca,-34.625,-20.7083333333333
moca,-33.625,-20.875
moca,-34.0416666666667,-20.9583333333333
